Drug1	Drug2	cell	synergy	fold
VEMURAFENIB	LAPATINIB	ACHN	2.8	1
VEMURAFENIB	LAPATINIB	COLO205	10.02	0
VEMURAFENIB	LAPATINIB	DU145	0.09	1
VEMURAFENIB	LAPATINIB	HCT15	1.23	3
VEMURAFENIB	LAPATINIB	HCT116	1.62	2
VEMURAFENIB	LAPATINIB	HL60	9.88	3
VEMURAFENIB	LAPATINIB	HT29	14.5	0
VEMURAFENIB	LAPATINIB	IGROV1	6.21	2
VEMURAFENIB	LAPATINIB	SKMEL5	6.63	2
VEMURAFENIB	LAPATINIB	PC3	0.54	1
VEMURAFENIB	LAPATINIB	SKMEL2	4.13	1
VEMURAFENIB	LAPATINIB	CAKI1	0.01	1
VEMURAFENIB	LAPATINIB	HS578T	8.21	0
VEMURAFENIB	LAPATINIB	MDAMB231	2.75	0
VEMURAFENIB	LAPATINIB	SKMEL28	9.37	2
VEMURAFENIB	LAPATINIB	SKOV3	-4.7	2
VEMURAFENIB	LAPATINIB	SNB19	1.06	3
VEMURAFENIB	LAPATINIB	SW620	12.33	0
VEMURAFENIB	LAPATINIB	U251MG	-0.84	1
VEMURAFENIB	LAPATINIB	UACC257	9.0	3
VEMURAFENIB	LAPATINIB	MDAMB468	-1.47	2
VEMURAFENIB	LAPATINIB	T47D	0.69	1
VEMURAFENIB	LAPATINIB	BT549	2.67	3
VEMURAFENIB	LAPATINIB	NCIH522	-7.33	2
VEMURAFENIB	LAPATINIB	UACC62	6.03	1
5-FU	MERCAPTOPURINE	UACC62	-20.62	2
5-FU	MERCAPTOPURINE	MDAMB468	-12.74	0
5-FU	MERCAPTOPURINE	T47D	-8.3	4
5-FU	MERCAPTOPURINE	BT549	-16.4	4
5-FU	MERCAPTOPURINE	SW620	-6.0	3
5-FU	MERCAPTOPURINE	U251MG	-11.44	0
5-FU	MERCAPTOPURINE	UACC257	-9.3	4
5-FU	MERCAPTOPURINE	SKOV3	-9.64	3
5-FU	MERCAPTOPURINE	SNB19	-4.6	1
5-FU	MERCAPTOPURINE	HS578T	-8.59	3
5-FU	MERCAPTOPURINE	MDAMB231	-17.65	4
5-FU	MERCAPTOPURINE	SKMEL28	4.34	2
5-FU	MERCAPTOPURINE	SKMEL2	-7.87	1
5-FU	MERCAPTOPURINE	CAKI1	-3.58	2
5-FU	MERCAPTOPURINE	SKMEL5	-12.61	3
5-FU	MERCAPTOPURINE	PC3	-3.37	2
5-FU	MERCAPTOPURINE	HT29	-6.13	1
5-FU	MERCAPTOPURINE	IGROV1	8.05	0
5-FU	MERCAPTOPURINE	HCT15	-5.6	3
5-FU	MERCAPTOPURINE	HCT116	-8.11	2
5-FU	MERCAPTOPURINE	HL60	-8.14	3
5-FU	MERCAPTOPURINE	COLO205	-10.75	0
5-FU	MERCAPTOPURINE	DU145	-16.25	2
5-FU	MERCAPTOPURINE	786O	-7.36	1
5-FU	MERCAPTOPURINE	A498	-5.66	2
5-FU	MERCAPTOPURINE	A549	-0.71	1
5-FU	MERCAPTOPURINE	ACHN	3.48	2
5-FU	MERCAPTOPURINE	OVCAR8	-8.07	1
5-FU	MERCAPTOPURINE	RPMI8226	-12.51	3
5-FU	MERCAPTOPURINE	SF295	-14.62	1
5-FU	MERCAPTOPURINE	NCIH226	-10.66	3
5-FU	MERCAPTOPURINE	NCIH322	-7.12	0
5-FU	MERCAPTOPURINE	NCIH460	-5.56	3
5-FU	MERCAPTOPURINE	OVCAR4	-7.51	4
5-FU	MERCAPTOPURINE	MCF7	-7.9	1
5-FU	MERCAPTOPURINE	NCIH23	-19.95	4
5-FU	MERCAPTOPURINE	K562	-15.86	2
5-FU	MERCAPTOPURINE	KM12	-25.21	4
5-FU	MERCAPTOPURINE	LOXIMVI	-7.67	1
5-FU	MERCAPTOPURINE	MALME3M	-4.77	4
ABIRATERONE	LAPATINIB	SKOV3	-4.46	0
ABIRATERONE	LAPATINIB	SNB19	-1.03	0
ABIRATERONE	LAPATINIB	SW620	1.62	3
ABIRATERONE	LAPATINIB	U251MG	-2.57	3
ABIRATERONE	LAPATINIB	UACC257	1.33	3
ABIRATERONE	LAPATINIB	T47D	-3.97	0
ABIRATERONE	LAPATINIB	BT549	0.69	0
ABIRATERONE	LAPATINIB	NCIH522	-8.2	2
ABIRATERONE	LAPATINIB	UACC62	-0.69	0
ABIRATERONE	LAPATINIB	SKMEL5	4.44	2
ABIRATERONE	LAPATINIB	PC3	-1.47	4
ABIRATERONE	LAPATINIB	SKMEL2	2.53	3
ABIRATERONE	LAPATINIB	CAKI1	-2.52	4
ABIRATERONE	LAPATINIB	HS578T	1.88	2
ABIRATERONE	LAPATINIB	MDAMB231	0.78	4
ABIRATERONE	LAPATINIB	SKMEL28	0.89	1
ABIRATERONE	LAPATINIB	786O	-3.25	4
ABIRATERONE	LAPATINIB	A498	1.73	1
ABIRATERONE	LAPATINIB	A549	-3.87	3
ABIRATERONE	LAPATINIB	ACHN	-4.31	2
ABIRATERONE	LAPATINIB	COLO205	4.02	2
ABIRATERONE	LAPATINIB	DU145	-1.03	0
ABIRATERONE	LAPATINIB	HCT15	-1.43	2
ABIRATERONE	LAPATINIB	HCT116	-1.59	2
ABIRATERONE	LAPATINIB	HL60	7.42	1
ABIRATERONE	LAPATINIB	HT29	0.69	3
ABIRATERONE	LAPATINIB	IGROV1	8.47	4
ABIRATERONE	LAPATINIB	K562	-0.85	0
ABIRATERONE	LAPATINIB	KM12	-1.55	1
ABIRATERONE	LAPATINIB	MALME3M	0.61	1
ABIRATERONE	LAPATINIB	MCF7	-2.53	2
ABIRATERONE	LAPATINIB	MOLT4	-0.04	1
ABIRATERONE	LAPATINIB	NCIH23	-0.73	3
ABIRATERONE	LAPATINIB	NCIH226	0.86	1
ABIRATERONE	LAPATINIB	NCIH322	0.55	1
ABIRATERONE	LAPATINIB	OVCAR4	-4.52	1
ABIRATERONE	LAPATINIB	OVCAR8	-2.43	2
ABIRATERONE	LAPATINIB	RPMI8226	5.08	0
ABIRATERONE	LAPATINIB	SF295	-2.63	4
RALOXIFENE	LAPATINIB	LOXIMVI	-1.36	2
RALOXIFENE	LAPATINIB	IGROV1	5.39	2
LENALIDOMIDE	LAPATINIB	PC3	-4.63	1
LENALIDOMIDE	LAPATINIB	SKMEL5	4.0	4
LENALIDOMIDE	LAPATINIB	CAKI1	-1.88	1
LENALIDOMIDE	LAPATINIB	SKMEL2	0.81	1
LENALIDOMIDE	LAPATINIB	SKMEL28	1.77	1
LENALIDOMIDE	LAPATINIB	HS578T	2.57	4
LENALIDOMIDE	LAPATINIB	MDAMB231	1.84	2
LENALIDOMIDE	LAPATINIB	SNB19	-1.82	4
LENALIDOMIDE	LAPATINIB	SKOV3	-6.57	2
LENALIDOMIDE	LAPATINIB	U251MG	-2.8	1
LENALIDOMIDE	LAPATINIB	UACC257	1.9	2
LENALIDOMIDE	LAPATINIB	SW620	0.21	3
LENALIDOMIDE	LAPATINIB	BT549	0.75	4
LENALIDOMIDE	LAPATINIB	MDAMB468	-1.69	0
LENALIDOMIDE	LAPATINIB	T47D	-2.88	0
LENALIDOMIDE	LAPATINIB	NCIH522	-7.91	4
LENALIDOMIDE	LAPATINIB	UACC62	-0.63	4
LENALIDOMIDE	LAPATINIB	LOXIMVI	-3.13	2
LENALIDOMIDE	LAPATINIB	K562	-2.26	0
LENALIDOMIDE	LAPATINIB	KM12	-1.51	1
LENALIDOMIDE	LAPATINIB	NCIH23	-0.7	3
LENALIDOMIDE	LAPATINIB	MCF7	-1.78	0
LENALIDOMIDE	LAPATINIB	MOLT4	4.54	2
LENALIDOMIDE	LAPATINIB	NCIH460	-5.57	0
LENALIDOMIDE	LAPATINIB	OVCAR4	-1.73	0
LENALIDOMIDE	LAPATINIB	NCIH226	-0.78	1
LENALIDOMIDE	LAPATINIB	NCIH322	2.36	4
LENALIDOMIDE	LAPATINIB	SF295	-2.01	3
LENALIDOMIDE	LAPATINIB	OVCAR8	-2.05	0
LENALIDOMIDE	LAPATINIB	A549	0.02	4
LENALIDOMIDE	LAPATINIB	ACHN	-0.12	4
LENALIDOMIDE	LAPATINIB	786O	-2.12	1
LENALIDOMIDE	LAPATINIB	A498	-2.81	0
LENALIDOMIDE	LAPATINIB	DU145	-1.91	1
LENALIDOMIDE	LAPATINIB	COLO205	0.38	4
LENALIDOMIDE	LAPATINIB	HCT116	-1.47	3
LENALIDOMIDE	LAPATINIB	HL60	10.1	1
LENALIDOMIDE	LAPATINIB	HCT15	1.0	4
LENALIDOMIDE	LAPATINIB	HT29	0.16	1
LENALIDOMIDE	LAPATINIB	IGROV1	-10.65	0
TENIPOSIDE	MERCAPTOPURINE	SF295	-6.89	0
TENIPOSIDE	MERCAPTOPURINE	OVCAR8	-12.48	2
TENIPOSIDE	MERCAPTOPURINE	RPMI8226	-2.99	3
TENIPOSIDE	MERCAPTOPURINE	NCIH460	1.14	1
TENIPOSIDE	MERCAPTOPURINE	OVCAR4	-10.59	0
TENIPOSIDE	MERCAPTOPURINE	NCIH226	-9.76	1
TENIPOSIDE	MERCAPTOPURINE	NCIH322	-11.72	3
TENIPOSIDE	MERCAPTOPURINE	NCIH23	-4.39	0
TENIPOSIDE	MERCAPTOPURINE	MCF7	-14.71	4
TENIPOSIDE	MERCAPTOPURINE	MOLT4	0.91	4
TENIPOSIDE	MERCAPTOPURINE	LOXIMVI	-2.13	0
TENIPOSIDE	MERCAPTOPURINE	MALME3M	-10.98	0
TENIPOSIDE	MERCAPTOPURINE	K562	-7.3	4
TENIPOSIDE	MERCAPTOPURINE	KM12	-10.72	3
TENIPOSIDE	MERCAPTOPURINE	HT29	-11.4	1
TENIPOSIDE	MERCAPTOPURINE	IGROV1	-5.7	3
TENIPOSIDE	MERCAPTOPURINE	HCT116	-6.46	3
TENIPOSIDE	MERCAPTOPURINE	HL60	8.79	2
TENIPOSIDE	MERCAPTOPURINE	HCT15	-1.61	0
TENIPOSIDE	MERCAPTOPURINE	DU145	-9.06	1
TENIPOSIDE	MERCAPTOPURINE	COLO205	-5.83	4
TENIPOSIDE	MERCAPTOPURINE	A549	-5.46	0
TENIPOSIDE	MERCAPTOPURINE	ACHN	-1.82	0
TENIPOSIDE	MERCAPTOPURINE	786O	-10.8	4
TENIPOSIDE	MERCAPTOPURINE	A498	2.95	0
TENIPOSIDE	MERCAPTOPURINE	SKMEL28	-7.97	1
TENIPOSIDE	MERCAPTOPURINE	HS578T	-9.33	4
TENIPOSIDE	MERCAPTOPURINE	MDAMB231	-18.09	3
TENIPOSIDE	MERCAPTOPURINE	CAKI1	-11.22	1
TENIPOSIDE	MERCAPTOPURINE	SKMEL2	5.56	1
TENIPOSIDE	MERCAPTOPURINE	PC3	-9.72	2
TENIPOSIDE	MERCAPTOPURINE	SKMEL5	-12.67	4
TENIPOSIDE	MERCAPTOPURINE	NCIH522	-7.35	0
TENIPOSIDE	MERCAPTOPURINE	UACC62	-16.21	4
TENIPOSIDE	MERCAPTOPURINE	BT549	-12.98	3
TENIPOSIDE	MERCAPTOPURINE	MDAMB468	-13.24	1
TENIPOSIDE	MERCAPTOPURINE	T47D	-10.41	3
TENIPOSIDE	MERCAPTOPURINE	U251MG	-7.45	0
TENIPOSIDE	MERCAPTOPURINE	UACC257	-7.95	4
TENIPOSIDE	MERCAPTOPURINE	SW620	-1.25	2
TENIPOSIDE	MERCAPTOPURINE	SNB19	0.65	0
TENIPOSIDE	MERCAPTOPURINE	SKOV3	-14.97	3
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	MALME3M	0.19	4
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	LOXIMVI	-3.8	4
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	KM12	-3.0	4
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	K562	-4.34	2
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	NCIH23	-3.33	3
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	MOLT4	-2.84	3
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	MCF7	-2.89	2
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	OVCAR4	-6.57	4
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	NCIH460	-9.53	2
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	NCIH322	0.25	0
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	NCIH226	1.03	4
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	SF295	1.56	1
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	RPMI8226	-6.8	1
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	OVCAR8	-7.23	1
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	ACHN	-3.08	3
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	A549	-0.73	2
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	A498	-3.91	0
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	786O	-8.81	0
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	DU145	-1.26	3
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	COLO205	-2.67	4
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	HL60	1.94	0
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	HCT116	-5.98	3
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	HCT15	-6.02	0
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	IGROV1	-5.79	2
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	HT29	-0.16	4
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	PC3	-11.12	1
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	SKMEL5	-12.39	2
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	CAKI1	-10.49	0
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	SKMEL2	-1.49	2
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	SKMEL28	-3.02	2
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	MDAMB231	-7.42	3
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	HS578T	-3.9	1
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	SNB19	-1.76	2
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	SKOV3	-6.47	4
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	UACC257	-4.31	2
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	U251MG	0.1	3
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	SW620	-8.55	0
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	BT549	-2.35	2
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	T47D	-5.07	0
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	MDAMB468	-0.94	1
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	UACC62	-8.63	2
MITOXANTRONE	TOPOTECAN HYDROCHLORIDE	NCIH522	-6.11	2
GEFITINIB	LAPATINIB	SKMEL28	4.92	3
GEFITINIB	LAPATINIB	MDAMB231	0.1	0
GEFITINIB	LAPATINIB	HS578T	-0.3	2
GEFITINIB	LAPATINIB	PC3	-7.27	3
GEFITINIB	LAPATINIB	SKMEL5	8.84	3
GEFITINIB	LAPATINIB	CAKI1	-3.74	3
GEFITINIB	LAPATINIB	SKMEL2	-3.93	0
GEFITINIB	LAPATINIB	BT549	-3.11	1
GEFITINIB	LAPATINIB	T47D	-6.91	3
GEFITINIB	LAPATINIB	MDAMB468	-0.94	2
GEFITINIB	LAPATINIB	UACC62	-3.34	2
GEFITINIB	LAPATINIB	NCIH522	-5.01	3
GEFITINIB	LAPATINIB	SNB19	-2.45	1
GEFITINIB	LAPATINIB	SKOV3	-15.22	4
GEFITINIB	LAPATINIB	UACC257	4.68	4
GEFITINIB	LAPATINIB	U251MG	-4.77	1
GEFITINIB	LAPATINIB	SW620	1.16	2
GEFITINIB	LAPATINIB	OVCAR4	-4.79	0
GEFITINIB	LAPATINIB	NCIH460	-9.17	0
GEFITINIB	LAPATINIB	NCIH322	-6.36	1
GEFITINIB	LAPATINIB	NCIH226	1.25	2
GEFITINIB	LAPATINIB	SF295	-1.13	0
GEFITINIB	LAPATINIB	OVCAR8	-4.85	2
GEFITINIB	LAPATINIB	LOXIMVI	-2.27	1
GEFITINIB	LAPATINIB	KM12	-0.15	2
GEFITINIB	LAPATINIB	K562	-0.09	3
GEFITINIB	LAPATINIB	NCIH23	-3.51	4
GEFITINIB	LAPATINIB	MOLT4	6.61	2
GEFITINIB	LAPATINIB	MCF7	-3.64	0
GEFITINIB	LAPATINIB	HL60	6.09	1
GEFITINIB	LAPATINIB	HCT116	-2.11	3
GEFITINIB	LAPATINIB	HCT15	-7.25	1
GEFITINIB	LAPATINIB	IGROV1	-9.26	1
GEFITINIB	LAPATINIB	HT29	-1.98	2
GEFITINIB	LAPATINIB	ACHN	-1.82	2
GEFITINIB	LAPATINIB	A549	-5.0	3
GEFITINIB	LAPATINIB	A498	-6.22	2
GEFITINIB	LAPATINIB	786O	-5.85	3
GEFITINIB	LAPATINIB	DU145	-0.16	4
GEFITINIB	LAPATINIB	COLO205	1.64	3
PEMETREXED	LAPATINIB	SKOV3	-2.12	0
PEMETREXED	LAPATINIB	SNB19	4.79	3
PEMETREXED	LAPATINIB	SW620	4.34	2
PEMETREXED	LAPATINIB	UACC257	-1.22	3
PEMETREXED	LAPATINIB	U251MG	-2.16	0
PEMETREXED	LAPATINIB	T47D	-3.36	1
PEMETREXED	LAPATINIB	MDAMB468	-3.7	2
PEMETREXED	LAPATINIB	BT549	-1.78	0
PEMETREXED	LAPATINIB	UACC62	-3.99	0
PEMETREXED	LAPATINIB	NCIH522	-13.55	4
PEMETREXED	LAPATINIB	SKMEL5	1.2	4
PEMETREXED	LAPATINIB	PC3	3.09	1
PEMETREXED	LAPATINIB	SKMEL2	-2.66	0
PEMETREXED	LAPATINIB	CAKI1	-2.49	1
PEMETREXED	LAPATINIB	MDAMB231	0.5	4
PEMETREXED	LAPATINIB	HS578T	-2.28	3
PEMETREXED	LAPATINIB	SKMEL28	2.62	1
PEMETREXED	LAPATINIB	A498	-0.96	4
PEMETREXED	LAPATINIB	786O	-2.18	3
PEMETREXED	LAPATINIB	ACHN	-3.29	0
PEMETREXED	LAPATINIB	A549	-8.83	2
PEMETREXED	LAPATINIB	COLO205	-0.98	3
PEMETREXED	LAPATINIB	DU145	-2.52	3
PEMETREXED	LAPATINIB	HCT15	0.72	1
PEMETREXED	LAPATINIB	HL60	0.99	2
PEMETREXED	LAPATINIB	HCT116	3.31	0
PEMETREXED	LAPATINIB	IGROV1	-5.44	2
PEMETREXED	LAPATINIB	HT29	3.95	1
PEMETREXED	LAPATINIB	KM12	-4.98	3
PEMETREXED	LAPATINIB	K562	-5.67	0
PEMETREXED	LAPATINIB	LOXIMVI	1.9	4
PEMETREXED	LAPATINIB	MOLT4	1.88	2
PEMETREXED	LAPATINIB	MCF7	4.98	2
PEMETREXED	LAPATINIB	NCIH23	2.25	2
PEMETREXED	LAPATINIB	NCIH322	9.74	0
PEMETREXED	LAPATINIB	NCIH226	3.4	2
PEMETREXED	LAPATINIB	OVCAR4	-3.54	3
PEMETREXED	LAPATINIB	NCIH460	-1.48	4
PEMETREXED	LAPATINIB	OVCAR8	-6.11	2
PEMETREXED	LAPATINIB	SF295	5.39	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	SKMEL28	-6.5	4
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	HS578T	-12.72	3
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	MDAMB231	-13.54	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	PC3	-9.11	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	SKMEL5	-8.94	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	CAKI1	-17.26	0
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	SKMEL2	-2.49	2
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	BT549	-12.79	3
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	MDAMB468	-12.27	4
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	T47D	-6.14	4
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	NCIH522	-6.94	4
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	UACC62	-13.33	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	SNB19	-7.12	4
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	SKOV3	-12.84	4
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	U251MG	-13.57	0
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	UACC257	-6.3	0
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	SW620	-6.18	2
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	NCIH460	-2.1	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	OVCAR4	-12.57	2
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	NCIH226	-7.48	4
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	NCIH322	-10.07	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	SF295	-11.01	3
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	OVCAR8	-13.82	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	RPMI8226	-9.69	4
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	LOXIMVI	-7.71	3
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	MALME3M	-9.83	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	K562	-1.28	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	KM12	-8.22	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	NCIH23	-7.08	0
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	MCF7	-12.91	4
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	MOLT4	-3.23	3
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	HCT116	-6.53	0
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	HL60	-3.8	4
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	HCT15	-7.7	2
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	HT29	-7.83	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	IGROV1	-2.29	3
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	A549	-5.57	4
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	ACHN	0.19	2
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	786O	-15.7	1
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	A498	-6.87	0
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	DU145	-14.44	4
DAUNORUBICIN HYDROCHLORIDE	MERCAPTOPURINE	COLO205	3.47	4
LOMUSTINE	MERCAPTOPURINE	SW620	-5.54	4
LOMUSTINE	MERCAPTOPURINE	U251MG	-15.89	4
LOMUSTINE	MERCAPTOPURINE	UACC257	-6.54	0
LOMUSTINE	MERCAPTOPURINE	SKOV3	-12.13	4
LOMUSTINE	MERCAPTOPURINE	SNB19	-8.55	0
LOMUSTINE	MERCAPTOPURINE	NCIH522	-14.56	2
LOMUSTINE	MERCAPTOPURINE	UACC62	-13.48	2
LOMUSTINE	MERCAPTOPURINE	MDAMB468	-13.71	4
LOMUSTINE	MERCAPTOPURINE	T47D	-3.92	2
LOMUSTINE	MERCAPTOPURINE	BT549	-12.95	0
LOMUSTINE	MERCAPTOPURINE	SKMEL2	-4.2	0
LOMUSTINE	MERCAPTOPURINE	CAKI1	-14.8	0
LOMUSTINE	MERCAPTOPURINE	SKMEL5	-7.97	1
LOMUSTINE	MERCAPTOPURINE	PC3	-9.09	1
LOMUSTINE	MERCAPTOPURINE	HS578T	-12.91	3
LOMUSTINE	MERCAPTOPURINE	MDAMB231	-17.08	0
LOMUSTINE	MERCAPTOPURINE	SKMEL28	-5.65	1
LOMUSTINE	MERCAPTOPURINE	COLO205	-12.83	3
LOMUSTINE	MERCAPTOPURINE	DU145	-13.16	4
LOMUSTINE	MERCAPTOPURINE	786O	-14.88	1
LOMUSTINE	MERCAPTOPURINE	A498	-4.85	0
LOMUSTINE	MERCAPTOPURINE	A549	-10.85	0
LOMUSTINE	MERCAPTOPURINE	ACHN	-8.3	4
LOMUSTINE	MERCAPTOPURINE	HT29	-11.89	3
LOMUSTINE	MERCAPTOPURINE	IGROV1	-6.73	4
LOMUSTINE	MERCAPTOPURINE	HCT15	0.35	4
LOMUSTINE	MERCAPTOPURINE	HCT116	-7.6	4
LOMUSTINE	MERCAPTOPURINE	HL60	-9.2	2
LOMUSTINE	MERCAPTOPURINE	MCF7	-12.31	2
LOMUSTINE	MERCAPTOPURINE	MOLT4	-3.85	3
LOMUSTINE	MERCAPTOPURINE	NCIH23	-11.12	3
LOMUSTINE	MERCAPTOPURINE	K562	-2.26	3
LOMUSTINE	MERCAPTOPURINE	KM12	-7.88	2
LOMUSTINE	MERCAPTOPURINE	MALME3M	-8.41	0
LOMUSTINE	MERCAPTOPURINE	OVCAR8	-12.24	2
LOMUSTINE	MERCAPTOPURINE	RPMI8226	-9.39	4
LOMUSTINE	MERCAPTOPURINE	SF295	-4.63	4
LOMUSTINE	MERCAPTOPURINE	NCIH226	-9.51	1
LOMUSTINE	MERCAPTOPURINE	NCIH322	-11.43	3
LOMUSTINE	MERCAPTOPURINE	NCIH460	-5.2	1
LOMUSTINE	MERCAPTOPURINE	OVCAR4	-8.74	0
MITOXANTRONE	IMATINIB	HCT116	14.22	2
MITOXANTRONE	IMATINIB	HL60	11.16	4
MITOXANTRONE	IMATINIB	HCT15	12.57	1
MITOXANTRONE	IMATINIB	HT29	15.19	1
MITOXANTRONE	IMATINIB	IGROV1	7.74	4
MITOXANTRONE	IMATINIB	A549	9.43	2
MITOXANTRONE	IMATINIB	ACHN	10.9	3
MITOXANTRONE	IMATINIB	786O	4.98	1
MITOXANTRONE	IMATINIB	A498	6.39	2
MITOXANTRONE	IMATINIB	DU145	12.94	3
MITOXANTRONE	IMATINIB	COLO205	6.4	1
MITOXANTRONE	IMATINIB	NCIH460	8.62	2
MITOXANTRONE	IMATINIB	OVCAR4	-2.88	1
MITOXANTRONE	IMATINIB	NCIH226	12.88	1
MITOXANTRONE	IMATINIB	NCIH322	-1.22	1
MITOXANTRONE	IMATINIB	SF295	16.26	3
MITOXANTRONE	IMATINIB	OVCAR8	8.53	1
MITOXANTRONE	IMATINIB	RPMI8226	7.4	0
MITOXANTRONE	IMATINIB	LOXIMVI	4.11	4
MITOXANTRONE	IMATINIB	MALME3M	7.55	1
MITOXANTRONE	IMATINIB	K562	7.1	2
MITOXANTRONE	IMATINIB	KM12	6.19	0
MITOXANTRONE	IMATINIB	NCIH23	13.07	0
MITOXANTRONE	IMATINIB	MCF7	12.27	0
MITOXANTRONE	IMATINIB	MOLT4	15.94	0
MITOXANTRONE	IMATINIB	BT549	12.47	4
MITOXANTRONE	IMATINIB	MDAMB468	4.28	2
MITOXANTRONE	IMATINIB	T47D	8.68	3
MITOXANTRONE	IMATINIB	NCIH522	1.65	0
MITOXANTRONE	IMATINIB	UACC62	7.38	0
MITOXANTRONE	IMATINIB	SNB19	8.6	4
MITOXANTRONE	IMATINIB	SKOV3	3.37	2
